# ID_V                   ID_I                      RA             DEC
  0151.776_0662.867V     0151.088_0662.787i   17:40:21.998   -53:37:54.58
  0151.965_0145.500V     0151.272_0145.223i   17:40:22.253   -53:42:11.52
  0152.152_1143.927V     0151.561_1143.728i   17:40:21.792   -53:33:55.66
  0152.510_0060.614V     0151.861_0060.237i   17:40:22.324   -53:42:53.68
  0152.596_0441.642V     0151.855_0441.505i   17:40:22.148   -53:39:44.44
  0152.904_1068.429V     0152.518_1068.197i   17:40:21.869   -53:34:33.15
  0153.370_0197.319V     0152.615_0197.186i   17:40:22.307   -53:41:45.78
  0153.774_0355.162V     0153.056_0355.004i   17:40:22.255   -53:40:27.39
  0153.848_0733.285V     0154.029_0733.124i   17:40:22.080   -53:37:19.59
  0154.161_0968.117V     0153.573_0967.942i   17:40:21.987   -53:35:22.96
  0154.331_0156.350V     0153.794_0156.135i   17:40:22.381   -53:42:06.13
  0154.394_0737.351V     0154.768_0737.087i   17:40:22.109   -53:37:17.57
  0155.153_0750.950V     0155.386_0750.825i   17:40:22.145   -53:37:10.81
  0155.457_0648.229V     0154.694_0648.027i   17:40:22.210   -53:38:01.83
  0155.708_0414.931V     0154.981_0414.867i   17:40:22.335   -53:39:57.70
  0156.082_0323.160V     0155.419_0323.004i   17:40:22.399   -53:40:43.27
  0156.864_0576.477V     0156.080_0576.359i   17:40:22.323   -53:38:37.46
  0158.070_0078.724V     0157.501_0078.504i   17:40:22.627   -53:42:44.66
  0158.172_0852.363V     0158.556_0852.191i   17:40:22.265   -53:36:20.44
  0158.697_0167.366V     0157.998_0167.332i   17:40:22.619   -53:42:00.64
  0159.498_0636.006V     0158.826_0635.908i   17:40:22.442   -53:38:07.88
  0159.890_0133.327V     0159.236_0133.151i   17:40:22.702   -53:42:17.54
  0160.118_0238.227V     0159.487_0238.234i   17:40:22.665   -53:41:25.44
  0160.143_0321.799V     0159.474_0321.639i   17:40:22.627   -53:40:43.93
  0160.558_1053.158V     0159.976_1052.982i   17:40:22.303   -53:34:40.70
  0161.381_0068.447V     0160.718_0068.247i   17:40:22.817   -53:42:49.75
  0161.617_0750.077V     0161.962_0750.022i   17:40:22.506   -53:37:11.22
